Cases,Category,Country,Number of Records,Quality,Year
22250,Irish Whiskey,Canada,1,Standard,1/1/91 12:00:00 AM
21000,Irish Whiskey,Canada,1,Standard,1/1/92 12:00:00 AM
20350,Irish Whiskey,Canada,1,Standard,1/1/93 12:00:00 AM
21100,Irish Whiskey,Canada,1,Standard,1/1/94 12:00:00 AM
21250,Irish Whiskey,Canada,1,Standard,1/1/95 12:00:00 AM
23000,Irish Whiskey,Canada,1,Standard,1/1/96 12:00:00 AM
21400,Irish Whiskey,Canada,1,Standard,1/1/97 12:00:00 AM
22100,Irish Whiskey,Canada,1,Standard,1/1/98 12:00:00 AM
23850,Irish Whiskey,Canada,1,Standard,1/1/99 12:00:00 AM
25750,Irish Whiskey,Canada,1,Standard,1/1/00 12:00:00 AM
27500,Irish Whiskey,Canada,1,Standard,1/1/01 12:00:00 AM
30500,Irish Whiskey,Canada,1,Standard,1/1/02 12:00:00 AM
32150,Irish Whiskey,Canada,1,Standard,1/1/03 12:00:00 AM
35000,Irish Whiskey,Canada,1,Standard,1/1/04 12:00:00 AM
38000,Irish Whiskey,Canada,1,Standard,1/1/05 12:00:00 AM
40500,Irish Whiskey,Canada,1,Standard,1/1/06 12:00:00 AM
45100,Irish Whiskey,Canada,1,Standard,1/1/07 12:00:00 AM
50250,Irish Whiskey,Canada,1,Standard,1/1/08 12:00:00 AM
57000,Irish Whiskey,Canada,1,Standard,1/1/09 12:00:00 AM
65750,Irish Whiskey,Canada,1,Standard,1/1/10 12:00:00 AM
80500,Irish Whiskey,Canada,1,Standard,1/1/11 12:00:00 AM
108000,Irish Whiskey,Canada,1,Standard,1/1/12 12:00:00 AM
116000,Irish Whiskey,Canada,1,Standard,1/1/13 12:00:00 AM
140000,Irish Whiskey,Canada,1,Standard,1/1/14 12:00:00 AM
162750,Irish Whiskey,Canada,1,Standard,1/1/15 12:00:00 AM
182000,Irish Whiskey,Canada,1,Standard,1/1/16 12:00:00 AM
0,Irish Whiskey,Bulgaria,1,Standard,1/1/90 12:00:00 AM
0,Irish Whiskey,Bulgaria,1,Standard,1/1/91 12:00:00 AM
250,Irish Whiskey,Bulgaria,1,Standard,1/1/92 12:00:00 AM
250,Irish Whiskey,Bulgaria,1,Standard,1/1/93 12:00:00 AM
500,Irish Whiskey,Bulgaria,1,Standard,1/1/94 12:00:00 AM
500,Irish Whiskey,Bulgaria,1,Standard,1/1/95 12:00:00 AM
500,Irish Whiskey,Bulgaria,1,Standard,1/1/96 12:00:00 AM
500,Irish Whiskey,Bulgaria,1,Standard,1/1/97 12:00:00 AM
2750,Irish Whiskey,Bulgaria,1,Standard,1/1/98 12:00:00 AM
9000,Irish Whiskey,Bulgaria,1,Standard,1/1/99 12:00:00 AM
17750,Irish Whiskey,Bulgaria,1,Standard,1/1/00 12:00:00 AM
24910,Irish Whiskey,Bulgaria,1,Standard,1/1/01 12:00:00 AM
37150,Irish Whiskey,Bulgaria,1,Standard,1/1/02 12:00:00 AM
43100,Irish Whiskey,Bulgaria,1,Standard,1/1/03 12:00:00 AM
48250,Irish Whiskey,Bulgaria,1,Standard,1/1/04 12:00:00 AM
49950,Irish Whiskey,Bulgaria,1,Standard,1/1/05 12:00:00 AM
61150,Irish Whiskey,Bulgaria,1,Standard,1/1/06 12:00:00 AM
89900,Irish Whiskey,Bulgaria,1,Standard,1/1/07 12:00:00 AM
121700,Irish Whiskey,Bulgaria,1,Standard,1/1/08 12:00:00 AM
117100,Irish Whiskey,Bulgaria,1,Standard,1/1/09 12:00:00 AM
131100,Irish Whiskey,Bulgaria,1,Standard,1/1/10 12:00:00 AM
143100,Irish Whiskey,Bulgaria,1,Standard,1/1/11 12:00:00 AM
145600,Irish Whiskey,Bulgaria,1,Standard,1/1/12 12:00:00 AM
149900,Irish Whiskey,Bulgaria,1,Standard,1/1/13 12:00:00 AM
161000,Irish Whiskey,Bulgaria,1,Standard,1/1/14 12:00:00 AM
158500,Irish Whiskey,Bulgaria,1,Standard,1/1/15 12:00:00 AM
169200,Irish Whiskey,Bulgaria,1,Standard,1/1/16 12:00:00 AM
9000,Irish Whiskey,Australia,1,Standard,1/1/90 12:00:00 AM
8000,Irish Whiskey,Australia,1,Standard,1/1/91 12:00:00 AM
9500,Irish Whiskey,Australia,1,Standard,1/1/92 12:00:00 AM
11500,Irish Whiskey,Australia,1,Standard,1/1/93 12:00:00 AM
18500,Irish Whiskey,Australia,1,Standard,1/1/94 12:00:00 AM
